lead_id,lead_source,customer_age_group,customer_location,vehicle_type,new_or_used,budget_range,finance_enquiry,trade_in,test_drive_completed,quote_provided,previous_customer,response_time_hours,follow_up_count,days_since_enquiry,converted
L0285,Phone,35-44,Nearby Suburb,Sedan,New,High,1,1,0,0,0,20.3,3,18,0
L0286,Website,55+,Local,Sedan,Used,Medium,1,0,1,0,1,4.5,4,29,0
L0287,Phone,35-44,Local,Ute,Demo,Low,1,0,1,1,0,15.7,2,44,0
L0288,Phone,35-44,Far Suburb,EV,New,High,1,0,0,0,1,12.4,2,30,0
L0289,Walk-in,18-24,Far Suburb,Sedan,Demo,Low,0,1,0,1,0,5.6,3,38,0
L0290,Carsales,35-44,Local,SUV,Used,Medium,0,0,0,1,1,19.2,2,28,0
L0291,Website,25-34,Local,SUV,New,Medium,0,1,0,0,0,3.7,1,7,0
L0292,Website,45-54,Far Suburb,EV,New,Low,0,0,0,0,1,18.4,1,24,0
L0293,Referral,35-44,Local,SUV,Demo,Medium,0,1,1,1,0,15.8,3,41,1
L0294,Walk-in,35-44,Nearby Suburb,SUV,New,Medium,1,0,0,1,0,10.5,3,10,0
L0295,Website,18-24,Far Suburb,SUV,Demo,Medium,1,0,0,1,0,6.2,3,37,0
L0296,Phone,18-24,Local,SUV,Demo,Low,1,0,1,1,1,15.6,0,27,0
L0297,Carsales,45-54,Nearby Suburb,SUV,New,High,1,0,0,1,1,1.7,4,21,1
L0298,Website,18-24,Local,Ute,New,Low,1,0,1,1,0,5.3,3,36,1
L0299,Carsales,18-24,Local,SUV,Used,Low,1,1,0,1,0,9.7,5,43,0
L0300,Website,18-24,Far Suburb,Hatchback,New,Low,0,0,0,1,0,10.5,8,29,0
L0301,Website,55+,Local,SUV,Used,Low,0,0,1,1,1,5.4,3,7,1
L0302,Phone,45-54,Far Suburb,SUV,New,Low,0,1,1,0,0,5.5,2,13,1
L0303,Phone,25-34,Nearby Suburb,EV,Used,High,1,0,0,1,0,14.1,5,23,0
L0304,Carsales,25-34,Local,SUV,Used,Low,0,1,1,0,0,4.6,3,25,0
L0305,Carsales,25-34,Local,Ute,New,Low,1,1,1,1,0,7.5,0,41,1
L0306,Social Media,45-54,Local,Sedan,New,Low,0,0,0,0,0,3.7,4,13,0
L0307,Phone,35-44,Local,SUV,New,Medium,0,0,0,0,0,10.1,1,37,0
L0308,Walk-in,25-34,Local,EV,New,High,1,0,1,0,1,8.4,1,30,1
L0309,Referral,25-34,Local,SUV,Used,Low,0,1,0,0,1,1.6,2,26,0
L0310,Walk-in,18-24,Nearby Suburb,Ute,Used,Low,0,0,1,0,0,3.1,1,12,0
L0311,Phone,35-44,Nearby Suburb,SUV,New,Low,0,1,1,1,1,21.9,3,1,1
L0312,Website,45-54,Nearby Suburb,Ute,Used,Low,0,1,1,0,0,5.8,5,18,0
L0313,Website,25-34,Nearby Suburb,SUV,Used,Low,1,0,0,0,0,12.6,4,21,0
L0314,Social Media,18-24,Local,Sedan,New,Medium,0,1,0,0,0,4.4,3,24,0
L0315,Referral,18-24,Local,Ute,New,Low,1,1,1,1,0,24.0,3,17,0
L0316,Carsales,55+,Nearby Suburb,EV,Demo,Medium,0,0,0,0,1,2.2,4,42,0
L0317,Walk-in,25-34,Nearby Suburb,EV,Used,Low,1,1,0,0,0,20.5,3,9,0
L0318,Website,45-54,Local,Ute,Used,High,0,1,0,0,0,10.5,3,40,0
L0319,Website,35-44,Far Suburb,Ute,Used,High,1,0,0,1,1,15.3,2,28,0
L0320,Walk-in,25-34,Nearby Suburb,SUV,New,Medium,1,0,1,0,0,22.1,3,15,0
L0321,Phone,25-34,Nearby Suburb,SUV,Used,Medium,0,0,0,0,1,11.6,4,13,0
L0322,Carsales,25-34,Local,SUV,Used,Medium,1,0,1,0,1,28.1,2,28,1
L0323,Carsales,35-44,Nearby Suburb,Sedan,Used,Medium,1,1,0,1,0,21.9,8,17,1
L0324,Walk-in,45-54,Nearby Suburb,Sedan,New,Medium,0,0,1,0,1,15.0,2,9,0
L0325,Social Media,35-44,Nearby Suburb,Sedan,New,Medium,0,1,0,1,0,19.7,1,21,0
L0326,Carsales,35-44,Nearby Suburb,SUV,New,High,1,0,1,0,0,9.8,8,30,0
L0327,Phone,18-24,Far Suburb,Hatchback,Demo,High,1,0,1,0,0,4.8,2,11,0
L0328,Carsales,55+,Nearby Suburb,SUV,New,Low,0,1,0,0,0,38.7,3,30,0
L0329,Walk-in,45-54,Local,SUV,Used,Medium,0,1,1,0,1,10.3,1,36,1
L0330,Website,25-34,Nearby Suburb,Sedan,New,Low,1,0,0,0,0,12.0,3,25,0
L0331,Walk-in,55+,Nearby Suburb,Ute,New,Low,1,0,1,0,0,3.2,6,7,1
L0332,Carsales,35-44,Nearby Suburb,Ute,Used,Medium,1,0,1,0,1,23.0,3,20,0
L0333,Website,35-44,Local,Hatchback,Used,Low,0,0,1,1,0,11.8,2,35,0
L0334,Website,45-54,Local,SUV,Used,High,1,0,1,1,0,14.0,2,10,0
L0335,Website,45-54,Far Suburb,Sedan,New,Low,0,0,0,0,0,15.3,2,35,1
L0336,Website,35-44,Nearby Suburb,SUV,Used,Medium,0,1,0,1,1,5.6,4,1,0
L0337,Referral,25-34,Far Suburb,Sedan,New,Medium,1,0,0,1,0,22.6,3,14,0
L0338,Carsales,25-34,Nearby Suburb,Sedan,New,Medium,1,1,0,1,0,12.7,1,5,0
L0339,Phone,55+,Nearby Suburb,SUV,Used,Medium,0,1,1,0,0,1.7,5,40,0
L0340,Website,25-34,Nearby Suburb,SUV,New,High,0,0,0,1,0,19.7,2,44,0
L0341,Phone,25-34,Far Suburb,EV,New,Medium,1,1,1,0,0,9.2,3,38,1
L0342,Phone,35-44,Nearby Suburb,EV,Used,Medium,0,0,0,1,0,6.1,3,34,0
L0343,Website,35-44,Nearby Suburb,Sedan,Used,Low,1,1,0,0,0,2.4,5,24,0
L0344,Phone,35-44,Local,SUV,Used,Medium,1,0,1,0,0,7.5,4,4,1
L0345,Walk-in,55+,Nearby Suburb,SUV,New,High,0,0,0,0,0,6.9,6,27,0
L0346,Carsales,25-34,Nearby Suburb,Sedan,New,Medium,1,1,1,0,1,21.2,4,5,0
L0347,Carsales,25-34,Local,EV,New,High,1,0,0,1,0,6.5,1,43,0
L0348,Website,25-34,Local,SUV,Demo,Medium,1,1,1,0,0,2.9,4,13,0
L0349,Walk-in,45-54,Local,Ute,Used,Low,1,1,0,1,0,14.1,2,40,0
L0350,Carsales,35-44,Local,SUV,Used,Low,1,0,0,0,0,21.8,2,21,0
L0351,Phone,25-34,Local,EV,New,Low,0,0,1,0,0,7.8,5,37,0
L0352,Referral,45-54,Local,Sedan,Used,Medium,0,0,1,1,0,31.6,2,32,1
L0353,Carsales,45-54,Far Suburb,Ute,New,Medium,1,1,0,1,0,19.6,2,38,0
L0354,Website,45-54,Nearby Suburb,SUV,Used,Low,0,1,0,0,1,23.1,1,31,0
L0355,Website,55+,Local,Hatchback,Demo,Medium,0,0,0,0,0,13.9,4,32,0
L0356,Carsales,25-34,Local,SUV,Demo,Medium,1,0,0,1,1,12.9,2,15,1
L0357,Website,45-54,Nearby Suburb,SUV,Used,Medium,1,1,1,0,0,6.2,4,30,1
L0358,Phone,35-44,Local,EV,Used,Low,0,0,1,1,1,27.2,0,43,0
L0359,Social Media,45-54,Far Suburb,EV,Demo,Low,1,1,0,1,0,24.4,3,7,0
L0360,Phone,45-54,Nearby Suburb,Ute,Used,Low,1,0,0,0,0,27.6,6,38,1
L0361,Walk-in,45-54,Nearby Suburb,Hatchback,New,Low,0,1,1,0,1,9.9,3,31,1
L0362,Carsales,35-44,Local,Ute,Used,Low,1,0,0,0,0,7.9,1,44,0
L0363,Phone,25-34,Nearby Suburb,SUV,New,Low,0,0,1,0,0,16.6,4,26,0
L0364,Phone,35-44,Local,SUV,Used,Medium,0,0,0,1,0,7.1,0,36,0
L0365,Social Media,55+,Far Suburb,SUV,Used,Low,0,0,1,1,1,9.9,2,43,0
L0366,Walk-in,55+,Nearby Suburb,Hatchback,Used,High,0,1,0,1,0,1.9,4,26,0
L0367,Social Media,18-24,Local,Sedan,New,Low,0,0,1,1,1,12.1,1,44,0
L0368,Social Media,25-34,Local,SUV,New,Low,1,1,0,0,0,14.9,3,2,0
L0369,Website,25-34,Local,Hatchback,Used,Medium,1,0,0,1,0,23.4,5,43,0
L0370,Website,45-54,Nearby Suburb,Ute,Used,Low,1,0,1,0,0,17.0,2,43,0
L0371,Website,45-54,Local,Sedan,Used,High,1,0,0,1,0,18.9,1,9,0
L0372,Website,25-34,Nearby Suburb,SUV,New,Low,0,1,0,0,0,30.3,5,5,0
L0373,Website,35-44,Local,SUV,Demo,High,0,0,0,1,0,5.4,1,27,0
L0374,Carsales,45-54,Nearby Suburb,SUV,Demo,High,1,0,0,1,0,4.6,2,12,0
L0375,Website,45-54,Far Suburb,SUV,New,Medium,0,1,1,0,0,11.5,2,35,0
L0376,Walk-in,35-44,Nearby Suburb,Hatchback,New,Medium,0,0,1,0,0,4.2,2,29,1
L0377,Referral,35-44,Nearby Suburb,Hatchback,Used,Medium,1,0,0,1,1,12.6,2,16,0
L0378,Website,35-44,Local,Hatchback,Used,Medium,0,0,1,0,1,4.3,1,19,0
L0379,Referral,25-34,Local,Sedan,Demo,Medium,1,0,0,1,1,5.1,2,43,0
L0380,Walk-in,35-44,Nearby Suburb,Ute,Demo,Low,0,1,1,1,0,2.5,3,27,0
L0381,Website,35-44,Local,SUV,Used,Low,0,0,0,0,1,12.0,3,18,0
L0382,Carsales,45-54,Local,Sedan,Used,Medium,0,0,0,0,0,3.4,0,41,0
L0383,Carsales,35-44,Local,Ute,New,Medium,1,0,0,1,0,14.3,5,13,0
L0384,Referral,45-54,Local,SUV,New,High,0,0,0,0,1,15.9,7,30,0
L0385,Carsales,25-34,Local,SUV,Used,Low,0,0,0,0,1,5.9,3,26,1
L0386,Referral,35-44,Far Suburb,Ute,Used,High,1,1,0,1,0,17.4,1,6,0
L0387,Walk-in,18-24,Local,SUV,Used,Low,1,0,1,1,0,16.1,3,3,1
L0388,Website,25-34,Nearby Suburb,Hatchback,Used,Medium,0,0,0,0,0,20.3,1,23,0
L0389,Carsales,45-54,Local,SUV,New,Low,0,1,1,0,0,5.5,3,12,0
L0390,Referral,55+,Nearby Suburb,Hatchback,Used,Medium,0,0,0,1,1,5.3,3,41,0
L0391,Social Media,18-24,Local,SUV,New,Low,1,1,1,1,0,15.4,1,41,0
L0392,Walk-in,25-34,Far Suburb,SUV,New,Medium,1,0,1,1,1,11.4,5,15,0
L0393,Walk-in,45-54,Far Suburb,Hatchback,Used,High,0,1,1,0,0,12.1,4,1,1
L0394,Carsales,25-34,Local,SUV,Used,Medium,1,0,1,1,1,23.9,0,8,1
L0395,Walk-in,35-44,Far Suburb,Sedan,Demo,Medium,0,0,1,1,1,18.2,3,31,1
L0396,Social Media,45-54,Far Suburb,SUV,New,High,0,0,0,1,0,16.2,1,11,1
L0397,Referral,35-44,Far Suburb,SUV,Used,Medium,0,0,1,1,0,15.0,11,17,1
L0398,Walk-in,25-34,Far Suburb,SUV,New,Medium,0,0,0,0,1,19.2,0,27,0
L0399,Carsales,25-34,Local,SUV,New,Low,0,0,0,1,0,8.8,4,31,0
L0400,Carsales,45-54,Nearby Suburb,EV,Demo,High,0,0,0,0,0,4.1,3,27,0
L0401,Website,35-44,Local,SUV,Used,Medium,1,0,1,0,0,6.4,3,14,1
L0402,Social Media,18-24,Local,Sedan,Demo,Low,0,0,0,1,0,5.8,0,23,0
L0403,Phone,45-54,Far Suburb,SUV,New,Low,1,1,0,1,1,0.7,1,5,1
L0404,Referral,18-24,Local,SUV,Demo,High,0,1,0,1,0,15.0,4,30,0
L0405,Walk-in,45-54,Nearby Suburb,EV,New,Low,0,0,1,1,1,8.0,7,34,0
L0406,Referral,25-34,Far Suburb,SUV,Demo,High,0,0,0,0,0,9.0,1,19,0
L0407,Walk-in,55+,Far Suburb,EV,New,Low,0,0,0,1,1,6.7,0,31,0
L0408,Website,25-34,Far Suburb,SUV,New,Medium,0,0,0,0,0,10.0,2,16,0
L0409,Social Media,25-34,Local,Ute,Used,Medium,0,1,1,1,0,26.2,4,27,1
L0410,Website,25-34,Local,Sedan,Demo,Medium,0,0,1,0,0,2.4,2,26,0
L0411,Walk-in,25-34,Local,Ute,New,High,0,0,1,1,1,29.3,3,39,0
L0412,Social Media,45-54,Local,Hatchback,New,Medium,1,1,1,0,0,11.9,3,29,0
L0413,Social Media,55+,Local,Sedan,Demo,Medium,1,0,0,1,1,7.1,1,39,0
L0414,Phone,25-34,Local,SUV,New,Low,0,1,1,1,0,7.7,3,44,1
L0415,Carsales,35-44,Nearby Suburb,SUV,New,Low,0,1,0,0,0,5.0,2,29,0
L0416,Phone,45-54,Nearby Suburb,EV,New,Low,0,0,0,1,1,1.7,4,31,0
L0417,Walk-in,45-54,Local,SUV,New,Medium,1,0,0,1,0,4.3,4,2,1
L0418,Walk-in,35-44,Nearby Suburb,Sedan,Demo,Low,0,0,0,1,0,10.0,2,6,1
L0419,Carsales,25-34,Local,Ute,Used,Low,0,0,1,1,0,8.4,1,9,1
L0420,Carsales,25-34,Local,SUV,Used,Medium,0,0,0,0,0,13.7,3,15,0
L0421,Referral,45-54,Nearby Suburb,EV,Demo,Medium,1,1,1,0,0,6.8,2,20,1
L0422,Carsales,18-24,Nearby Suburb,Ute,Used,Medium,0,0,0,0,0,6.1,5,2,0
L0423,Website,35-44,Nearby Suburb,Hatchback,New,Low,1,0,0,0,0,35.6,3,3,0
L0424,Phone,25-34,Local,Ute,New,Low,0,0,0,0,0,5.1,3,30,0
L0425,Website,45-54,Far Suburb,SUV,New,High,1,1,1,1,1,5.4,7,8,1
L0426,Phone,18-24,Nearby Suburb,SUV,New,Low,1,0,1,0,0,19.0,4,40,0
L0427,Phone,35-44,Nearby Suburb,Sedan,Demo,High,0,1,0,0,0,16.1,2,21,0
L0428,Referral,35-44,Nearby Suburb,SUV,Used,High,1,0,1,0,0,7.5,4,39,0
L0429,Walk-in,35-44,Far Suburb,Ute,New,Medium,0,0,0,1,1,17.0,3,43,0
L0430,Website,18-24,Nearby Suburb,EV,Used,Low,1,1,1,1,0,10.8,3,13,1
L0431,Website,35-44,Nearby Suburb,Sedan,Used,High,1,1,1,0,0,6.8,6,40,0
L0432,Carsales,35-44,Far Suburb,SUV,Demo,Medium,0,0,0,1,1,15.4,2,41,0
L0433,Carsales,35-44,Nearby Suburb,EV,Demo,Medium,1,0,1,0,0,10.1,0,37,1
L0434,Website,35-44,Local,Sedan,Used,Low,0,1,0,1,1,1.8,3,32,0
L0435,Website,35-44,Nearby Suburb,Sedan,Used,Low,0,0,0,1,0,15.4,3,14,0
L0436,Carsales,45-54,Local,Sedan,Used,Low,0,0,1,0,0,9.1,1,1,0
L0437,Website,25-34,Local,EV,Used,Medium,1,1,0,1,1,24.9,3,27,1
L0438,Referral,45-54,Nearby Suburb,Hatchback,New,Medium,0,0,0,1,0,17.5,0,24,0
L0439,Carsales,35-44,Far Suburb,Ute,New,Medium,0,0,0,0,0,11.4,2,22,0
L0440,Website,18-24,Far Suburb,Ute,Used,Medium,1,0,0,1,0,7.6,4,14,0
L0441,Website,18-24,Local,SUV,New,Medium,0,1,1,0,1,9.9,6,8,1
L0442,Social Media,25-34,Nearby Suburb,Sedan,New,Medium,0,1,1,0,0,4.9,3,27,0
L0443,Walk-in,45-54,Local,Ute,Used,High,0,0,1,0,0,11.4,3,3,1
L0444,Walk-in,45-54,Far Suburb,Sedan,New,Low,0,0,0,0,0,26.1,0,33,0
L0445,Referral,45-54,Far Suburb,Ute,Used,Medium,0,0,0,0,0,31.5,7,21,0
L0446,Social Media,35-44,Nearby Suburb,EV,Used,Low,0,1,0,1,0,21.4,3,32,0
L0447,Social Media,35-44,Far Suburb,Hatchback,Demo,Medium,1,0,0,0,0,11.0,4,40,0
L0448,Carsales,25-34,Nearby Suburb,Ute,Used,Medium,1,1,1,0,0,2.9,5,41,0
L0449,Walk-in,25-34,Nearby Suburb,Ute,New,High,0,0,1,1,0,9.5,2,44,0
L0450,Website,35-44,Local,Ute,Used,Low,0,1,0,1,0,18.3,0,41,0
L0451,Carsales,18-24,Nearby Suburb,Sedan,Used,High,0,0,1,1,0,16.9,1,32,0
L0452,Phone,25-34,Nearby Suburb,SUV,Demo,Low,1,1,1,1,0,8.9,1,24,1
L0453,Walk-in,35-44,Nearby Suburb,Sedan,New,Medium,0,0,0,1,1,8.4,2,11,0
L0454,Social Media,45-54,Local,Hatchback,New,Low,0,0,1,1,0,13.0,2,37,0
L0455,Website,55+,Far Suburb,Sedan,Demo,High,1,1,0,1,0,10.4,3,21,0
L0456,Phone,55+,Local,Ute,New,Medium,0,1,0,1,0,9.5,2,18,0
L0457,Website,35-44,Nearby Suburb,Sedan,Used,Medium,0,0,0,0,1,9.1,3,11,0
L0458,Phone,35-44,Nearby Suburb,Hatchback,New,High,1,1,0,0,0,23.3,3,27,0
L0459,Website,35-44,Nearby Suburb,SUV,New,Low,1,0,0,1,0,4.4,6,43,0
L0460,Website,45-54,Nearby Suburb,Ute,New,Low,0,1,0,0,0,8.0,4,38,0
L0461,Website,18-24,Local,Sedan,New,High,1,0,0,0,0,8.3,4,1,0
L0462,Carsales,25-34,Local,SUV,Used,Low,0,0,1,1,1,11.2,1,29,0
L0463,Carsales,45-54,Nearby Suburb,SUV,Demo,Low,1,0,1,1,0,10.1,0,21,0
L0464,Phone,25-34,Nearby Suburb,Ute,New,Medium,0,0,1,0,0,9.7,4,29,1
L0465,Social Media,35-44,Local,Sedan,Used,Medium,1,1,0,1,1,4.6,2,9,0
L0466,Walk-in,35-44,Nearby Suburb,SUV,New,Low,1,0,0,1,0,10.1,7,7,0
L0467,Walk-in,25-34,Nearby Suburb,EV,Used,Low,1,0,0,1,1,15.2,3,38,0
L0468,Referral,25-34,Nearby Suburb,Hatchback,New,Low,1,0,0,1,0,11.5,1,31,0
L0469,Website,25-34,Far Suburb,EV,Demo,Medium,0,1,0,1,1,4.3,1,27,1
L0470,Social Media,18-24,Local,Sedan,Used,High,0,0,1,1,1,10.7,4,42,1
L0471,Website,18-24,Local,Sedan,Used,High,0,0,1,0,0,10.2,3,32,0
L0472,Social Media,45-54,Nearby Suburb,Ute,Used,Medium,1,1,1,1,1,7.8,4,5,1
L0473,Website,25-34,Nearby Suburb,Sedan,Used,Low,1,0,0,1,0,11.6,3,33,0
L0474,Referral,35-44,Nearby Suburb,Hatchback,Demo,High,0,1,0,1,0,6.3,2,15,1
L0475,Phone,25-34,Far Suburb,SUV,Used,Medium,1,1,1,1,0,15.6,0,5,0
L0476,Social Media,55+,Far Suburb,Sedan,Demo,Low,1,0,0,0,0,30.3,1,20,0
L0477,Website,25-34,Far Suburb,SUV,Used,High,1,1,0,1,1,16.5,3,38,0
L0478,Phone,35-44,Nearby Suburb,SUV,New,Medium,1,1,0,0,0,5.5,3,37,0
L0479,Social Media,45-54,Nearby Suburb,SUV,Used,Medium,0,0,0,0,1,15.0,3,17,0
L0480,Phone,45-54,Local,SUV,New,Medium,0,0,0,0,0,17.5,1,4,0
L0481,Carsales,25-34,Local,EV,Used,Low,0,1,1,0,0,12.9,6,21,1
L0482,Carsales,45-54,Nearby Suburb,SUV,Used,Low,0,0,1,1,0,13.8,2,34,0
L0483,Phone,35-44,Local,Hatchback,Used,Medium,1,1,0,0,0,9.5,2,40,0
L0484,Carsales,35-44,Far Suburb,Ute,New,Low,1,0,0,0,1,3.8,5,5,0
L0485,Phone,25-34,Nearby Suburb,Hatchback,New,Medium,1,0,1,1,1,9.0,4,4,1
L0486,Social Media,18-24,Nearby Suburb,SUV,Used,Medium,1,0,0,0,1,4.9,4,22,0
L0487,Website,45-54,Local,Hatchback,Demo,Medium,0,0,0,0,1,8.5,2,14,0
L0488,Walk-in,35-44,Local,Hatchback,New,Medium,0,0,0,0,0,6.7,8,4,0
L0489,Social Media,35-44,Local,Ute,New,Medium,0,1,0,0,0,4.6,5,8,0
L0490,Referral,45-54,Local,Ute,Used,High,0,1,1,0,0,22.7,5,3,1
L0491,Phone,45-54,Local,EV,Used,Medium,0,1,1,0,0,10.0,7,29,0
L0492,Carsales,25-34,Nearby Suburb,Hatchback,New,Low,0,0,0,1,0,6.9,2,26,0
L0493,Walk-in,35-44,Far Suburb,SUV,New,Low,0,1,0,0,0,2.5,2,30,0
L0494,Website,25-34,Far Suburb,Hatchback,New,Low,0,0,0,0,0,17.0,3,12,0
L0495,Phone,45-54,Nearby Suburb,SUV,Demo,Low,1,1,0,1,0,11.7,6,15,0
L0496,Walk-in,35-44,Local,Ute,New,Low,0,0,1,0,1,33.0,2,41,1
L0497,Phone,55+,Far Suburb,SUV,New,Low,0,1,1,1,0,5.9,6,2,1
L0498,Website,18-24,Far Suburb,SUV,New,Medium,0,1,0,0,0,21.6,6,1,0
L0499,Social Media,18-24,Local,Ute,New,High,1,0,1,0,0,9.0,4,28,0
L0500,Social Media,25-34,Nearby Suburb,Hatchback,Used,Low,0,0,1,1,1,5.1,5,40,0
L0501,Carsales,25-34,Local,Sedan,New,Medium,0,0,1,0,1,7.5,4,35,0
L0502,Phone,25-34,Far Suburb,Sedan,New,Medium,1,0,0,0,0,10.8,2,34,0
L0503,Walk-in,55+,Far Suburb,Ute,Used,Low,1,0,0,1,0,6.9,2,4,0
L0504,Referral,25-34,Local,SUV,New,High,1,0,1,0,1,3.9,6,18,1
L0505,Carsales,25-34,Far Suburb,Ute,New,Medium,0,0,0,1,0,4.9,5,12,0
L0506,Website,45-54,Nearby Suburb,SUV,Used,Medium,0,1,1,1,1,14.2,2,21,1
L0507,Social Media,35-44,Far Suburb,Ute,Used,Medium,0,1,1,0,1,4.4,2,10,0
L0508,Referral,45-54,Nearby Suburb,Ute,Demo,Low,1,1,1,1,0,6.2,4,21,1
L0509,Social Media,18-24,Far Suburb,SUV,Demo,Medium,0,1,0,1,0,4.6,3,40,0
L0510,Carsales,35-44,Local,Sedan,Used,Low,0,0,1,1,0,11.9,3,25,0
L0511,Carsales,18-24,Local,SUV,New,High,0,0,0,1,0,43.3,6,17,0
L0512,Walk-in,18-24,Local,Hatchback,Used,Medium,0,1,1,1,1,13.8,3,6,1
L0513,Social Media,55+,Far Suburb,Sedan,Used,Medium,0,1,0,0,1,5.7,4,14,0
L0514,Referral,25-34,Far Suburb,Hatchback,Used,Low,1,0,0,1,1,11.9,4,37,0
L0515,Website,35-44,Far Suburb,SUV,Used,Medium,1,1,1,0,0,5.9,4,40,1
L0516,Website,25-34,Far Suburb,SUV,New,Medium,0,1,0,0,0,11.2,4,40,0
L0517,Walk-in,25-34,Local,SUV,Used,Medium,0,1,0,1,0,24.5,5,18,1
L0518,Referral,55+,Local,SUV,Used,Medium,1,1,1,0,0,9.6,0,30,0
L0519,Social Media,18-24,Local,Hatchback,Demo,Medium,0,0,0,1,0,12.5,3,9,0
L0520,Website,35-44,Local,Ute,New,High,0,1,1,0,0,9.9,1,14,1
L0521,Carsales,55+,Local,Hatchback,New,Medium,0,1,0,1,0,17.9,3,17,0
L0522,Walk-in,35-44,Nearby Suburb,Sedan,New,High,1,0,1,0,1,15.3,10,34,1
L0523,Social Media,55+,Local,EV,Used,High,1,1,1,0,0,7.7,3,22,0
L0524,Referral,18-24,Local,Hatchback,New,Medium,1,0,0,0,1,15.3,3,32,1
L0525,Referral,25-34,Local,EV,New,Low,0,0,0,1,0,11.2,2,12,0
L0526,Phone,25-34,Local,Sedan,Demo,Medium,0,0,1,0,0,7.3,2,16,1
L0527,Walk-in,45-54,Far Suburb,SUV,New,High,1,0,0,1,1,7.3,1,22,1
L0528,Walk-in,55+,Nearby Suburb,SUV,Used,Low,0,0,0,0,0,11.0,4,38,0
L0529,Website,25-34,Far Suburb,Hatchback,New,Medium,1,1,1,0,0,12.4,4,39,0
L0530,Referral,35-44,Local,SUV,Used,High,1,0,0,0,0,8.9,5,2,1
L0531,Referral,25-34,Local,SUV,Used,Medium,0,0,0,0,0,12.6,6,8,0
L0532,Social Media,35-44,Nearby Suburb,Sedan,Demo,Medium,1,0,1,1,0,5.5,2,44,1
L0533,Social Media,35-44,Local,Hatchback,Demo,Low,0,0,0,1,1,4.3,2,1,0
L0534,Phone,55+,Local,Hatchback,New,Low,1,1,0,0,0,2.9,2,41,0
L0535,Carsales,35-44,Local,SUV,New,Medium,0,1,0,1,0,14.0,2,40,0
L0536,Social Media,25-34,Local,Sedan,New,Low,0,1,1,1,1,2.6,1,41,1
L0537,Referral,18-24,Local,Hatchback,Used,Low,1,0,1,0,0,12.5,2,5,0
L0538,Website,25-34,Local,EV,Demo,High,1,0,1,0,0,6.9,4,36,0
L0539,Phone,25-34,Nearby Suburb,Hatchback,Used,Low,0,1,0,1,0,7.9,4,17,0
L0540,Website,25-34,Local,EV,Used,High,1,1,0,0,0,8.0,3,41,0
L0541,Social Media,45-54,Local,Ute,New,High,0,0,0,0,0,38.6,2,30,0
L0542,Carsales,35-44,Far Suburb,Hatchback,Used,Low,0,1,0,0,0,6.3,2,15,0
L0543,Website,35-44,Local,SUV,Demo,Low,0,1,1,1,0,4.8,2,20,1
L0544,Carsales,18-24,Local,Hatchback,New,Medium,0,1,0,0,1,29.3,1,36,0
L0545,Carsales,45-54,Far Suburb,Hatchback,Used,Medium,0,0,0,0,1,3.2,2,2,1
L0546,Walk-in,45-54,Local,Hatchback,New,Low,0,1,0,0,0,3.8,3,4,1
L0547,Website,18-24,Local,Sedan,Used,Medium,0,0,1,0,0,17.2,2,24,0
L0548,Carsales,45-54,Nearby Suburb,Sedan,Used,Low,0,0,1,0,0,12.8,3,42,0
L0549,Phone,35-44,Local,SUV,New,High,0,0,1,1,0,7.3,5,2,0
L0550,Carsales,18-24,Nearby Suburb,Sedan,New,Low,1,0,1,0,1,4.4,5,2,1
L0551,Phone,35-44,Far Suburb,SUV,New,Low,0,0,0,1,0,1.6,1,1,0
L0552,Referral,35-44,Local,Ute,Used,Low,1,0,0,0,0,25.3,3,13,0
L0553,Phone,25-34,Nearby Suburb,SUV,Used,High,1,1,0,1,0,15.4,6,6,1
L0554,Phone,55+,Nearby Suburb,SUV,New,Medium,1,1,1,1,0,23.6,3,22,1
L0555,Referral,45-54,Local,Sedan,Used,High,1,1,1,0,0,19.2,3,17,1
L0556,Walk-in,35-44,Nearby Suburb,Hatchback,Used,Medium,1,0,0,1,1,13.2,1,22,1
L0557,Website,35-44,Local,Sedan,New,Low,0,0,1,0,1,6.2,2,43,0
L0558,Website,25-34,Nearby Suburb,SUV,New,Low,0,1,1,1,1,4.4,0,6,1
L0559,Carsales,35-44,Local,Hatchback,Used,Medium,1,0,1,0,1,20.4,2,3,0
L0560,Carsales,35-44,Nearby Suburb,SUV,Demo,Medium,1,1,1,1,1,7.0,4,6,1
L0561,Carsales,18-24,Local,EV,New,Medium,1,1,1,1,0,4.6,5,17,1
L0562,Website,35-44,Far Suburb,EV,New,Low,0,0,0,1,0,5.9,6,35,0
L0563,Website,45-54,Local,Sedan,New,High,1,1,1,1,1,21.3,6,37,1
L0564,Website,35-44,Local,SUV,Used,Low,0,1,1,0,0,5.0,6,35,0
L0565,Walk-in,18-24,Nearby Suburb,Ute,New,High,0,0,0,1,0,7.3,3,23,0
L0566,Phone,45-54,Nearby Suburb,SUV,New,Low,0,0,1,1,0,9.0,3,8,0
L0567,Walk-in,25-34,Nearby Suburb,Sedan,Used,Medium,1,0,1,1,0,11.4,5,7,1
L0568,Phone,25-34,Nearby Suburb,SUV,Used,Low,1,0,0,0,0,4.7,2,10,0
L0569,Social Media,25-34,Nearby Suburb,EV,New,Medium,0,0,1,1,0,8.8,4,26,0
